Province,Centre,Total
,Courtenay,573
,Cranbrook,143
,Cranbrook,64
,Cranbrook,207
,Dawson Creek,3
,Dawson Creek,38
,Dawson Creek,10
,Dawson Creek,51
,Duncan,222
,Duncan,23
,Duncan,12
,Duncan,20
,Duncan,277
,Fort St. John,155
,Fort St. John,155
,Kitimat,4
,Kitimat,4
,Parksville-Qualicum Beach,177
,Parksville-Qualicum Beach,28
,Parksville-Qualicum Beach,93
,Parksville-Qualicum Beach,298
,Penticton,381
,Penticton,25
,Penticton,9
,Penticton,2
,Penticton,417
,Port Alberni,47
,Port Alberni,1
,Port Alberni,10
,Port Alberni,16
,Port Alberni,6
,Port Alberni,80
,Powell River,53
,Powell River,--
,Powell River,--
,Powell River,--
,Powell River,53
,Prince Rupert,--
,Prince Rupert,5
,Prince Rupert,5
,Quesnel,24
,Quesnel,25
,Quesnel,7
,Quesnel,--
,Quesnel,4
,Quesnel,1
,Quesnel,61
,Squamish,255
,Squamish,255
,Terrace,7
,Terrace,7
,Terrace,1
,Terrace,15
,Williams Lake,32
,Williams Lake,5
,Williams Lake,9
,Williams Lake,2
,Williams Lake,48
,Total,"29,332"
,Total,"183,774"
,St. John's,175
,St. John's,55
,St. John's,16
,St. John's,11
,St. John's,65
,St. John's,14
,St. John's,2
,St. John's,326
,St. John's,577
,St. John's,32
,St. John's,--
,St. John's,10
,St. John's,8
,St. John's,"1,291"
,Bay Roberts,2
,Bay Roberts,--
,Bay Roberts,44
,Bay Roberts,8
,Bay Roberts,54
,Corner Brook,2
,Corner Brook,1
,Corner Brook,20
,Corner Brook,37
,Corner Brook,4
,Corner Brook,2
,Corner Brook,7
,Corner Brook,5
,Corner Brook,78
,Gander,2
,Gander,72
,Gander,1
,Gander,2
,Gander,77
,Grand Falls-Windsor,1
,Grand Falls-Windsor,4
,Grand Falls-Windsor,61
,Grand Falls-Windsor,--
,Grand Falls-Windsor,7
,Grand Falls-Windsor,--
,Grand Falls-Windsor,73
,Labrador City,26
,Labrador City,4
,Labrador City,30
,Total,"1,603"
,Charlottetown,7
,Charlottetown,23
,Charlottetown,6
,Charlottetown,15
,Charlottetown,2
,Charlottetown,3
,Charlottetown,3
,Charlottetown,1
,Charlottetown,2
,Charlottetown,2
,Charlottetown,10
,Charlottetown,10
,Charlottetown,5
,Charlottetown,--
,Charlottetown,3
,Charlottetown,228
,Charlottetown,100
,Charlottetown,36
,Charlottetown,456
,Summerside,2
,Summerside,--
,Summerside,4
,Summerside,58
,Summerside,64
,Total,520
,Halifax,"2,149"
,Halifax,"2,149"
,Cape Breton,179
,Cape Breton,179
,Kentville,50
,Kentville,37
,Kentville,76
,Kentville,163
,New Glasgow,53
,New Glasgow,25
