Province,Centre,Total
Ont./Ont.,Kitchener,570
Ont./Ont.,Kitchener,215
Ont./Ont.,Kitchener,"3,176"
Ont./Ont.,London,76
Ont./Ont.,London,384
Ont./Ont.,London,7
Ont./Ont.,London,100
Ont./Ont.,London,35
Ont./Ont.,London,119
Ont./Ont.,London,"2,066"
Ont./Ont.,London,"2,787"
Ont./Ont.,St. Catharines-Niagara,119
Ont./Ont.,St. Catharines-Niagara,56
Ont./Ont.,St. Catharines-Niagara,19
Ont./Ont.,St. Catharines-Niagara,81
Ont./Ont.,St. Catharines-Niagara,143
Ont./Ont.,St. Catharines-Niagara,54
Ont./Ont.,St. Catharines-Niagara,270
Ont./Ont.,St. Catharines-Niagara,183
Ont./Ont.,St. Catharines-Niagara,203
Ont./Ont.,St. Catharines-Niagara,135
Ont./Ont.,St. Catharines-Niagara,"1,263"
Ont./Ont.,Oshawa,"1,173"
Ont./Ont.,Oshawa,840
Ont./Ont.,Oshawa,570
Ont./Ont.,Oshawa,"2,583"
Ont./Ont.,Ottawa,181
Ont./Ont.,Ottawa,120
Ont./Ont.,Ottawa,"5,000"
Ont./Ont.,Ottawa,"5,301"
Ont./Ont.,Greater Sudbury,449
Ont./Ont.,Greater Sudbury,449
Ont./Ont.,Thunder Bay,11
Ont./Ont.,Thunder Bay,138
Ont./Ont.,Thunder Bay,19
Ont./Ont.,Thunder Bay,--
Ont./Ont.,Thunder Bay,2
Ont./Ont.,Thunder Bay,2
Ont./Ont.,Thunder Bay,9
Ont./Ont.,Thunder Bay,181
Ont./Ont.,Toronto,216
Ont./Ont.,Toronto,"1,853"
Ont./Ont.,Toronto,226
Ont./Ont.,Toronto,"1,800"
Ont./Ont.,Toronto,"3,750"
Ont./Ont.,Toronto,"2,668"
Ont./Ont.,Toronto,699
Ont./Ont.,Toronto,108
Ont./Ont.,Toronto,680
Ont./Ont.,Toronto,96
Ont./Ont.,Toronto,71
Ont./Ont.,Toronto,290
Ont./Ont.,Toronto,"12,420"
Ont./Ont.,Toronto,"4,980"
Ont./Ont.,Toronto,"4,673"
Ont./Ont.,Toronto,95
Ont./Ont.,Toronto,45
Ont./Ont.,Toronto,50
Ont./Ont.,Toronto,"1,315"
Ont./Ont.,Toronto,"1,155"
Ont./Ont.,Toronto,499
Ont./Ont.,Toronto,354
Ont./Ont.,Toronto,78
Ont./Ont.,Toronto,"38,121"
Ont./Ont.,Windsor,72
Ont./Ont.,Windsor,84
Ont./Ont.,Windsor,554
Ont./Ont.,Windsor,7
Ont./Ont.,Windsor,234
Ont./Ont.,Windsor,951
Ont./Ont.,Barrie,104
Ont./Ont.,Barrie,152
Ont./Ont.,Barrie,982
Ont./Ont.,Barrie,"1,238"
Ont./Ont.,Belleville,207
Ont./Ont.,Belleville,145
Ont./Ont.,Belleville,352
Ont./Ont.,Brantford,486
Ont./Ont.,Brantford,486
Ont./Ont.,Chatham-Kent,181
Ont./Ont.,Chatham-Kent,181
Ont./Ont.,Cornwall,47
Ont./Ont.,Cornwall,99
Ont./Ont.,Cornwall,146
Ont./Ont.,Guelph,825
Ont./Ont.,Guelph,91
Ont./Ont.,Guelph,916
Ont./Ont.,Kawartha Lakes,300
Ont./Ont.,Kawartha Lakes,300
Ont./Ont.,Norfolk,386
Ont./Ont.,Norfolk,386
Ont./Ont.,North Bay,7
Ont./Ont.,North Bay,29
Ont./Ont.,North Bay,87
Ont./Ont.,North Bay,39
Ont./Ont.,North Bay,162
Ont./Ont.,Peterborough,25
Ont./Ont.,Peterborough,390
Ont./Ont.,Peterborough,95
Ont./Ont.,Peterborough,36
Ont./Ont.,Peterborough,546
Ont./Ont.,Sarnia,31
Ont./Ont.,Sarnia,136
Ont./Ont.,Sarnia,2
Ont./Ont.,Sarnia,169
Ont./Ont.,Sault Sainte-Marie,1
Ont./Ont.,Sault Sainte-Marie,1
Ont./Ont.,Sault Sainte-Marie,100
Ont./Ont.,Sault Sainte-Marie,2
Ont./Ont.,Sault Sainte-Marie,104
Ont./Ont.,Bracebridge,63
Ont./Ont.,Bracebridge,63
Ont./Ont.,Brant,191
Ont./Ont.,Brant,191
Ont./Ont.,Trent Hills,65
Ont./Ont.,Trent Hills,65
Ont./Ont.,Erin,41
Ont./Ont.,Erin,41
Ont./Ont.,Haldimand,201
Ont./Ont.,Haldimand,201
Ont./Ont.,Gravenhurst,106
Ont./Ont.,Gravenhurst,106
Ont./Ont.,Greater Napanee,47
Ont./Ont.,Greater Napanee,47
Ont./Ont.,Hunstville,146
Ont./Ont.,Hunstville,146
Ont./Ont.,Ingersoll,65
Ont./Ont.,Ingersoll,65
Ont./Ont.,Lambton Shores,55
Ont./Ont.,Lambton Shores,55
Ont./Ont.,Georgian Highlands,46
Ont./Ont.,Georgian Highlands,46
Ont./Ont.,Mississippi Mills,77
Ont./Ont.,Mississippi Mills,77
Ont./Ont.,North Perth,60
Ont./Ont.,North Perth,60
Ont./Ont.,Prince Edward,107
Ont./Ont.,Prince Edward,107
Ont./Ont.,Saugeen Shores,107
Ont./Ont.,Saugeen Shores,107
Ont./Ont.,South Huron,39
Ont./Ont.,South Huron,39
Ont./Ont.,Wasaga Beach,462
Ont./Ont.,Wasaga Beach,462
Ont./Ont.,West Nipissing,61
Ont./Ont.,West Nipissing,61
Ont./Ont.,Brockville,21
Ont./Ont.,Brockville,31
Ont./Ont.,Brockville,40
Ont./Ont.,Brockville,6
Ont./Ont.,Brockville,9
Ont./Ont.,Brockville,107
