"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","41900","B","","","0"
"2016","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","36600","C","","","0"
"2017","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","36300","B","","","0"
"2018","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","37500","C","","","0"
"2019","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","36800","C","","","0"
"2020","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","37300","B","","","0"
"2021","Saskatchewan","2016A000247","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414344","11.8.14","37600","C","","","0"
"2006","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","6800","C","","","0"
"2007","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","6800","B","","","0"
"2008","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","7200","C","","","0"
"2009","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","6800","B","","","0"
"2010","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","7100","B","","","0"
"2011","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","7600","C","","","0"
"2012","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","8200","C","","","0"
"2013","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","8100","C","","","0"
"2014","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","9400","C","","","0"
"2015","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","9300","B","","","0"
"2016","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","8100","B","","","0"
"2017","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","8300","B","","","0"
"2018","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","8700","B","","","0"
"2019","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","8100","C","","","0"
"2020","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","8100","B","","","0"
"2021","Saskatchewan","2016A000247","Median income tax","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414371","11.10.1","8700","B","","","0"
"2006","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","11600","C","","","0"
"2007","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","11100","C","","","0"
"2008","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","11700","C","","","0"
"2009","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","11400","C","","","0"
"2010","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","11800","C","","","0"
"2011","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","12700","C","","","0"
"2012","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","13200","C","","","0"
"2013","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","12600","C","","","0"
"2014","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","14800","B","","","0"
"2015","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","13400","B","","","0"
"2016","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","13500","B","","","0"
"2017","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","13500","B","","","0"
"2018","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","13600","B","","","0"
"2019","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","12400","C","","","0"
"2020","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","13000","B","","","0"
"2021","Saskatchewan","2016A000247","Median income tax","Economic families","2021 constant dollars","429","units","0","v96414372","11.10.2","13400","B","","","0"
"2006","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","1700","E","","","0"
"2007","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","2400","E","","","0"
"2008","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","1900","E","","","0"
"2009","Saskatchewan","2016A000247","Median income tax","Persons not in an economic family","2021 constant dollars","429","units","0","v96414384","11.10.14","","F","","","0"
